"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Inicio de Sesión de Participantes en Patito Client","Intento de inicio de sesión con credenciales inválidas","0","0","2","0","0"
"","Gestión de Problemas en Panel Administrativo","Crear problema y validar que se lista - ¿Es primo?","0","0","0","1","0"
"","Gestión de Problemas en Panel Administrativo","Crear problema y validar que se lista - Contar vocales","0","0","0","1","0"
"","Inicio de Sesión de Participantes en Patito Client","Inicio de sesión exitoso con credenciales válidas","0","1","0","0","0"
"","Gestión y uso de contests","Crear los problemas base para las pruebas de contests","0","0","0","1","0"
"","Envío y Evaluación de Soluciones","Envío de solución correcta con veredicto Aceptado (AC)","0","0","0","1","0"
"","Gestión y uso de contests","Validar distintos veredictos del juez en un contest privado","0","1","0","0","0"
"","Inicio de Sesión Administrativo en Juez Virtual Admin","Intento de inicio de sesión administrativo con credenciales invalidas","0","0","1","0","0"
"","Envío y Evaluación de Soluciones","Envío de solución con error de compilación (CE)","0","0","0","1","0"
"","Registro de Participantes en Patito Client","Registro de participante exitoso","0","0","1","0","0"
"","Gestión de Problemas en Panel Administrativo","Crear problema y validar que se lista - Máximo de un arreglo","0","0","0","1","0"
"","Gestión de Problemas en Panel Administrativo","Crear problema y validar que se lista - Mayor de tres","0","0","0","1","0"
"","Gestión de Problemas en Panel Administrativo","Crear problema y validar que se lista - Suma de dos números","0","0","0","1","0"
"","Administrador de Archivos de Problemas","Carga exitosa de archivo de entrada de casos de prueba (.in)","0","0","0","1","0"
"","Gestión de Problemas en Panel Administrativo","Crear problema y validar que se lista - Tabla de multiplicar","0","0","0","1","0"
"","Gestión y uso de contests","Crear un contest público y validar el flujo del participante","0","1","0","0","0"
"","Gestión y uso de contests","Validar distintos veredictos del juez en un contest público","0","1","0","0","0"
"","Gestión de Problemas en Panel Administrativo","Crear problema y validar que se lista - Invertir una cadena","0","0","0","1","0"
"","Tabla de Clasificación Global","Buscar usuario en la tabla de clasificación","0","0","1","0","0"
"","Administrador de Archivos de Problemas","Carga exitosa de archivo de salida de casos de prueba (.out)","0","0","0","1","0"
"","Gestión de Problemas en Panel Administrativo","Crear problema y validar que se lista - Serie Fibonacci","0","0","0","1","0"
"","Gestión de Problemas en Panel Administrativo","Crear problema y validar que se lista - Factorial","0","0","0","1","0"
"","Inicio de Sesión Administrativo en Juez Virtual Admin","Inicio de sesión administrativo exitoso con rol de Administrador","0","1","0","0","0"
"","Gestión y uso de contests","Crear un contest privado y validar el acceso del participante registrado","0","1","0","0","0"
"","Gestión de Problemas en Panel Administrativo","Crear problema y validar que se lista - Número par","0","0","0","1","0"
