"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 05 23:13:11 BOT 2026","Sun Jul 05 23:13:49 BOT 2026","38317","","Gestión de Problemas en Panel Administrativo","","Crear problema y validar que se lista - Invertir una cadena","","Crear problema y validar que se lista - Invertir una cadena","  Como docente o administrador del Juez Virtual
  Quiero registrar nuevos problemas
  Para que los participantes puedan resolverlos"
"skipped","Sun Jul 05 23:08:08 BOT 2026","Sun Jul 05 23:08:19 BOT 2026","11846","","Administrador de Archivos de Problemas","","Carga exitosa de archivo de entrada de casos de prueba (.in)","","Carga exitosa de archivo de entrada de casos de prueba (.in)","  Como docente del Juez Virtual
  Quiero cargar archivos de casos de prueba (.in y .out)
  Para que el Juez Virtual evalúe las soluciones de los participantes"
"broken","Sun Jul 05 23:20:07 BOT 2026","Sun Jul 05 23:20:48 BOT 2026","40785","","Gestión y uso de contests","","Crear un contest público y validar el flujo del participante","","Crear un contest público y validar el flujo del participante","  Como administrador del Juez Virtual
  Quiero crear contests públicos y privados desde el panel administrativo
  Para que los participantes vean problemas, envíen soluciones y aparezcan en las clasificaciones"
"passed","Sun Jul 05 23:16:17 BOT 2026","Sun Jul 05 23:16:35 BOT 2026","17394","","Inicio de Sesión de Participantes en Patito Client","","Intento de inicio de sesión con credenciales inválidas","","Intento de inicio de sesión con credenciales inválidas","  Como participante del Juez Virtual
  Quiero iniciar sesión con mi usuario y contraseña
  Para acceder a resolver problemas y ver mis envíos"
"passed","Sun Jul 05 23:12:32 BOT 2026","Sun Jul 05 23:13:11 BOT 2026","38386","","Gestión de Problemas en Panel Administrativo","","Crear problema y validar que se lista - Contar vocales","","Crear problema y validar que se lista - Contar vocales","  Como docente o administrador del Juez Virtual
  Quiero registrar nuevos problemas
  Para que los participantes puedan resolverlos"
"passed","Sun Jul 05 23:15:06 BOT 2026","Sun Jul 05 23:15:45 BOT 2026","38331","","Gestión de Problemas en Panel Administrativo","","Crear problema y validar que se lista - Serie Fibonacci","","Crear problema y validar que se lista - Serie Fibonacci","  Como docente o administrador del Juez Virtual
  Quiero registrar nuevos problemas
  Para que los participantes puedan resolverlos"
"passed","Sun Jul 05 23:09:03 BOT 2026","Sun Jul 05 23:09:19 BOT 2026","16798","","Inicio de Sesión Administrativo en Juez Virtual Admin","","Intento de inicio de sesión administrativo con credenciales invalidas","","Intento de inicio de sesión administrativo con credenciales invalidas","  Como administrador, docente o auxiliar
  Quiero iniciar sesión en el panel administrativo
  Para gestionar usuarios, problemas, concursos y configuraciones"
"passed","Sun Jul 05 23:13:49 BOT 2026","Sun Jul 05 23:14:28 BOT 2026","39016","","Gestión de Problemas en Panel Administrativo","","Crear problema y validar que se lista - Máximo de un arreglo","","Crear problema y validar que se lista - Máximo de un arreglo","  Como docente o administrador del Juez Virtual
  Quiero registrar nuevos problemas
  Para que los participantes puedan resolverlos"
"broken","Sun Jul 05 23:22:10 BOT 2026","Sun Jul 05 23:22:51 BOT 2026","41229","","Gestión y uso de contests","","Validar distintos veredictos del juez en un contest privado","","Validar distintos veredictos del juez en un contest privado","  Como administrador del Juez Virtual
  Quiero crear contests públicos y privados desde el panel administrativo
  Para que los participantes vean problemas, envíen soluciones y aparezcan en las clasificaciones"
"passed","Sun Jul 05 23:11:54 BOT 2026","Sun Jul 05 23:12:32 BOT 2026","38409","","Gestión de Problemas en Panel Administrativo","","Crear problema y validar que se lista - Factorial","","Crear problema y validar que se lista - Factorial","  Como docente o administrador del Juez Virtual
  Quiero registrar nuevos problemas
  Para que los participantes puedan resolverlos"
